,Movie_Name,Movie_Rating,Movie_Certificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Description,Movie_Poster_HD,All_Movie_Info
10,Shershaah,8.9,UA,2021,135 min,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri","Action, Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BMjk1NzcwMDUtNDU4ZC00MzlhLTkzZjAtM2MxMTRjZGE0ODdhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR3,0,67,98_AL_.jpg","The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",https://m.media-amazon.com/images/M/MV5BOWE3NjFiYTctZWUyZi00NzZmLTk0YjgtNDUxNmUwYWFjYTlhXkEyXkFqcGdeQXVyMTA5NzIyMDY5._V1_.jpg,shershaah sidharth malhotra kiara advani shiv panditt pranay pachauri action biography drama the story of pvc awardee indian soldier capt vikram batra who shot to fame and became a household name during the kargil war in 1999
11,The Lord of the Rings: The Fellowship of the Ring,8.9,U,2001,178 min,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean","Action, Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,the lord of the rings: the fellowship of the ring elijah wood ian mckellen orlando bloom sean bean action adventure drama a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle-earth from the dark lord sauron
12,Pulp Fiction,8.9,A,1994,154 min,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,pulp fiction john travolta uma thurman samuel l jackson bruce willis crime drama the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption
13,The Batman,8.8,UA,2022,175 min,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_UX67_CR0,0,67,98_AL_.jpg","When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_FMjpg_UY720_.jpg,the batman robert pattinson zoë kravitz jeffrey wright colin farrell action crime drama when the riddler a sadistic serial killer begins murdering key political figures in gotham batman is forced to investigate the city's hidden corruption and question his family's involvement
14,Inception,8.8,UA,2010,148 min,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","Action, Adventure, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://m.media-amazon.com/images/M/MV5BYjZjOWU1MjktMzBkYS00OWNiLWJiNGQtN2VkYTJiOGIwZDY3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,inception leonardo dicaprio joseph gordon-levitt elliot page ken watanabe action adventure sci-fi a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a ceo but his tragic past may doom the project and his team to disaster
15,Sardar Udham,8.8,UA 13+,2021,164 min,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar","Biography, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BZGFhNTYwZmMtNzk4Ny00MTExLThjMWUtNjYzMTEwZjEzMWQ3XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY98_CR5,0,67,98_AL_.jpg",A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,https://m.media-amazon.com/images/M/MV5BNjk2YTI1NGItYWJmYS00NWQ0LTk4ZTktMWQzYTAzYWNmYmZjXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg,sardar udham vicky kaushal shaun scott stephen hogan amol parashar biography crime drama a biopic detailing the 2 decades that punjabi sikh revolutionary udham singh spent planning the assassination of the man responsible for the jallianwala bagh massacre
16,The Lord of the Rings: The Two Towers,8.8,UA,2002,179 min,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","Action, Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,the lord of the rings: the two towers elijah wood ian mckellen viggo mortensen orlando bloom action adventure drama while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against sauron's new ally saruman and his hordes of isengard
17,Fight Club,8.8,A,1999,139 min,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",Drama            ,"https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,fight club brad pitt edward norton meat loaf zach grenier drama an insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more
18,Forrest Gump,8.8,UA,1994,142 min,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field","Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",https://m.media-amazon.com/images/M/MV5BOWNmNzdjYjQtZjIyOS00MDhiLTg4ZWUtZGZkZDE4ZDQwZTY1XkEyXkFqcGdeQXVyODk2ODI3MTU@._V1_.jpg,forrest gump tom hanks robin wright gary sinise sally field drama romance the presidencies of kennedy and johnson the vietnam war the watergate scandal and other historical events unfold from the perspective of an alabama man with an iq of 75 whose only desire is to be reunited with his childhood sweetheart
19,"The Good, The Bad & The Ugly",8.8,A,1966,161 min,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè","Adventure, Western            ","https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UY720_.jpg,il buono il brutto il cattivo clint eastwood eli wallach lee van cleef aldo giuffrè adventure western a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery
20,Spider-Man: No Way Home,8.7,UA,2021,148 min,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon","Action, Adventure, Fantasy            ","https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_UX67_CR0,0,67,98_AL_.jpg","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg,spider-man: no way home tom holland zendaya benedict cumberbatch jacob batalon action adventure fantasy with spider-man's identity now revealed peter asks doctor strange for help when a spell goes wrong dangerous foes from other worlds start to appear forcing peter to discover what it truly means to be spider-man
21,Interstellar,8.7,UA,2014,169 min,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","Adventure, Drama, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,interstellar matthew mcconaughey anne hathaway jessica chastain mackenzie foy adventure drama sci-fi a team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival
22,The Matrix,8.7,A,1999,136 min,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Action, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,the matrix keanu reeves laurence fishburne carrie-anne moss hugo weaving action sci-fi when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence
23,Goodfellas,8.7,A,1990,146 min,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","Biography, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,goodfellas robert de niro ray liotta joe pesci lorraine bracco biography crime drama the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italian-american crime syndicate
24,The Empire Strikes Back,8.7,UA,1980,124 min,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Action, Adventure, Fantasy            ","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,the empire strikes back mark hamill harrison ford carrie fisher billy dee williams action adventure fantasy after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued across the galaxy by darth vader and bounty hunter boba fett
25,One Flew Over the Cuckoo's Nest,8.7,A,1975,133 min,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco",Drama            ,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,one flew over the cuckoo's nest jack nicholson louise fletcher michael berryman peter brocco drama a criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients
26,Shichinin no samurai,8.7,U,1954,207 min,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki","Action, Drama            ","https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,shichinin no samurai toshirô mifune takashi shimura keiko tsushima yukiko shimazaki action drama a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves
27,It's a Wonderful Life,8.7,PG,1946,130 min,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell","Comedy, Drama, Family            ","https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY98_CR0,0,67,98_AL_.jpg",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_.jpg,it's a wonderful life james stewart donna reed lionel barrymore thomas mitchell comedy drama family an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed
28,Asuran,8.6,UA,2019,141 min,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy","Action, Drama            ","https://m.media-amazon.com/images/M/MV5BYWE3M2FhMmYtYjJjZC00YTZlLTkyNGYtMTg2YjQ2ZjA5MzZjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",https://m.media-amazon.com/images/M/MV5BNjU1OTliOWYtYzg3Yi00ODVmLWIzMjctZGJmZjRhZjY5OTA2XkEyXkFqcGdeQXVyMTAwMDE4MjA3._V1_.jpg,asuran dhanush manju warrier prakash raj pasupathy action drama the teenage son of a farmer from an underprivileged caste kills a rich upper caste landlord will the farmer a loving father and a pacifist by heart be able to save his hot-blooded son is the rest of the story
29,96,8.6,U,2018,158 min,"Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan","Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BZTM1MGM3NjgtZjE4Mi00ZTNlLWI3ODAtNTViZjFmMDc3MjlhXkEyXkFqcGdeQXVyOTA3MTM0MTM@._V1_UY98_CR2,0,67,98_AL_.jpg",Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,https://m.media-amazon.com/images/M/MV5BYzdkYzNmNTgtZGQ0OC00OTI3LWI4OTctYzM3MTJlMGQyMjY1XkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_.jpg,96 vijay sethupathi adithya bhaskar trisha krishnan gouri kishan drama romance two high school sweethearts meet at a reunion after 22 years and reminisce about their past
30,Drishyam 2,8.6,13,2021,152 min,"Mohanlal, Meena, Ansiba, Esther Anil","Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BM2RiZDVjYWEtZGNhYy00ZGU0LTgwZjMtZTJmNmMyNGQ5NGYyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,https://m.media-amazon.com/images/M/MV5BM2RiZDVjYWEtZGNhYy00ZGU0LTgwZjMtZTJmNmMyNGQ5NGYyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,drishyam 2 mohanlal meena ansiba esther anil crime drama thriller a gripping tale of an investigation and a family which is threatened by it will georgekutty be able to protect his family this time?
